time_s,P_drive_W,P_hvac_W,P_to_LFP_W,P_to_LTO_W,T_LFP_C,T_LTO_C,SoC_LFP,SoC_LTO
0.0,1632.735297108146,3400.0,2516.3676485540727,2516.3676485540727,30.0,30.0,0.55,0.525
0.25,2366.239289778882,3399.500104152201,2882.869696965541,2882.869696965541,30.003613104610373,30.006114004835734,0.550000003140381,0.525000017795492
0.5,9113.543568106395,3399.00041655095,7262.543984657346,5250.0,30.007235078005635,30.012241590975187,0.550000011051649,0.5250000502028994
0.75,12608.594791548465,3398.500937109497,10757.095728657961,5250.0,30.010976180805585,30.0184741267652,0.5500000227696181,0.5250000826103068
1.0,16858.635022740684,3398.0016657411265,15006.636688481809,5250.0,30.014812565383178,30.02470342437999,0.5500000391167169,0.5250001150177143
1.25,21040.37542669808,3397.502602359159,19187.87802905724,5250.0,30.01876385528429,30.03092948550368,0.5500000600185448,0.5250001474251217
1.5,23384.671582564297,3397.0037468769524,21531.67532944125,5250.0,30.02282541887001,30.03715231181782,0.5500000834735289,0.5250001798325291
1.75,28362.15188524869,3396.5050992078986,26508.65698445659,5250.0,30.026946576809657,30.043371905003085,0.5500001123500615,0.5250002122399365
2.0,31127.63469237469,3396.006659265428,29273.641351640115,5250.0,30.03119141215592,30.049588266739278,0.5500001442385597,0.525000244647344
2.25,37443.87001463908,3395.508426963005,34000.0,5250.0,30.035501592580385,30.05580139870533,0.5500001812755967,0.5250002770547514
2.5,37596.76184419687,3395.0104022141322,34000.0,5250.0,30.039920188237495,30.0620113025793,0.5500002183126337,0.5250003094621588
2.75,39404.35226020269,3394.5125849323454,34000.0,5250.0,30.04433721029219,30.068217980038373,0.5500002553496707,0.5250003418695662
3.0,41349.54902848682,3394.014975031219,34000.0,5250.0,30.048752659369875,30.074421432758864,0.5500002923867077,0.5250003742769737
3.25,42527.878031062246,3393.517572424362,34000.0,5250.0,30.053166536030712,30.080621662416217,0.5500003294237447,0.5250004066843811
3.5,43291.21717718127,3393.0203770254197,34000.0,5250.0,30.057578840834665,30.086818670685002,0.5500003664607817,0.5250004390917885
3.75,44470.67191846113,3392.5233887480736,34000.0,5250.0,30.061989574341503,30.093012459238924,0.5500004034978186,0.5250004714991959
4.0,45385.55631080543,3392.0266075060413,34000.0,5250.0,30.066398737110788,30.099203029750818,0.5500004405348556,0.5250005039066034
4.25,44592.46981499016,3391.5300332130755,34000.0,5250.0,30.070806329701888,30.105390383892647,0.5500004775718926,0.5250005363140108
4.5,44901.54458051318,3391.033665782966,34000.0,5250.0,30.07521235267397,30.11157452333551,0.5500005146089296,0.5250005687214182
4.75,42902.47340469614,3390.5375051295377,34000.0,5250.0,30.079616806586,30.11775544974963,0.5500005516459666,0.5250006011288256
5.0,41593.98661506923,3390.041551166651,34000.0,5250.0,30.08401969199675,30.12393316480437,0.5500005886830036,0.525000633536233
5.25,40923.113576646225,3389.545803808204,34000.0,5250.0,30.088421009464792,30.130107670168222,0.5500006257200406,0.5250006659436405
5.5,37852.21697176466,3389.0502629681278,34000.0,5250.0,30.09282075954849,30.13627896750881,0.5500006627570776,0.5250006983510479
5.75,34381.28741283196,3388.5549285603925,32519.842341392352,5250.0,30.097218942806023,30.1424470584929,0.5500006981817425,0.5250007307584553
6.0,31673.533973716458,3388.0598004990015,29811.593774215457,5250.0,30.10158179541124,30.148611944786374,0.5500007306562454,0.5250007631658627
6.25,28980.117892767885,3387.564878697996,27117.68277146588,5250.0,30.105880046196205,30.154773628054265,0.5500007601962049,0.5250007955732702
6.5,26548.730913161176,3387.070163071451,24685.801076232627,5250.0,30.11011234467443,30.160932109960736,0.5500007870870558,0.5250008279806776
6.75,20997.15689529637,3386.5756535334795,19133.732548829852,5250.0,30.114283484569864,30.167087392169083,0.5500008079299017,0.525000860388085
7.0,17025.90751316576,3386.0813499982287,15161.988863163988,5250.0,30.118311654545877,30.17323947634174,0.5500008244462294,0.5250008927954924
7.25,13864.661357471361,3385.5872523798816,12000.248609851242,5250.0,30.122233259226892,30.179388364140284,0.5500008375183957,0.5250009252028999
7.5,8069.896536197317,3385.0933605926575,6204.989896789975,5250.0,30.12606808666776,30.18553405722541,0.550000844277644,0.5250009576103073
7.75,4177.395128878347,3384.599674550812,3780.9974017145796,3780.9974017145796,30.129743282629782,30.191676557256972,0.5500008483963775,0.5250009809497974
8.0,18706.031173965188,3384.106194168635,16840.137368133823,5250.0,30.13335142698799,30.19774972204723,0.5500008667407538,0.5250010133572048
8.25,18464.28001295272,3383.612919360453,16597.892932313174,5250.0,30.137312867380675,30.20388587531444,0.5500008848212472,0.5250010457646123
8.5,18073.21336262588,3383.119850040628,16206.333212666508,5250.0,30.14126656828036,30.21001884048355,0.550000902475205,0.5250010781720197
8.75,18536.083483862785,3382.626986123558,16668.71046998634,5250.0,30.145208551973283,30.216148619212,0.5500009206328417,0.5250011105794271
9.0,15737.47015452499,3382.134327523675,13869.604482048664,5250.0,30.14916152612253,30.22227521315534,0.5500009357413432,0.5250011429868345
9.25,18817.045454000065,3381.64187415545,16948.687328155516,5250.0,30.15303830246358,30.22839862396825,0.5500009542039656,0.525001175394242
9.5,17232.284192153485,3381.1496259333867,15363.433818086873,5250.0,30.156996109692013,30.23451885330456,0.5500009709397322,0.5250012078016494
9.75,16665.104125875223,3380.657582772025,14795.76170864725,5250.0,30.16091043672634,30.24063590281724,0.5500009870571198,0.5250012402090568
10.0,18221.1566076168,3380.165744585941,16351.32235220274,5250.0,30.16480828547445,30.24674977415839,0.5500010048690177,0.5250012726164642
10.25,18560.435908279513,3379.674111289746,16690.11001956926,5250.0,30.168746366941086,30.25286046897926,0.5500010230499655,0.5250013050238717
10.5,17644.18603545377,3379.1826827980876,15773.368718251859,5250.0,30.172692134652845,30.258967988930248,0.5500010402322844,0.5250013374312791
10.75,17138.875327919355,3378.6914590256483,15267.566786945004,5250.0,30.17661224949771,30.265072335660886,0.5500010568636208,0.5250013698386865
11.0,18020.899866827225,3378.200439887145,16149.100306714368,5250.0,30.180517586587623,30.271173510819846,0.5500010744552333,0.5250014022460939
11.25,17957.802153405697,3377.7096252973324,16085.511778703029,5250.0,30.18444512159455,30.277271516054952,0.5500010919775773,0.5250014346535014
11.5,19124.478532814475,3377.2190151709997,17251.697547985474,5250.0,30.18836967450417,30.283366353013168,0.5500011107702761,0.5250014670609088
11.75,18597.92638998348,3376.7286094229707,16724.65499940645,5250.0,30.192323788847677,30.289458023340604,0.5500011289888546,0.5250014994683162
12.0,18155.052517011696,3376.2384079681065,16281.290924979803,5250.0,30.19626268267128,30.29554652868251,0.5500011467244655,0.5250015318757236
12.25,18889.306564179195,3375.748410721302,17015.054974900497,5250.0,30.200188538846525,30.301631870683288,0.5500011652593838,0.525001564283131
12.5,17835.581560075367,3375.2586175974884,15960.840177672857,5250.0,30.20413250110119,30.30771405098648,0.5500011826459199,0.5250015966905385
12.75,17259.280341081307,3374.7690285116323,15384.04936959294,5250.0,30.20804726522496,30.313793071234777,0.5500011994041436,0.5250016290979459
13.0,18467.246648820197,3374.2796433787353,16591.526292198934,5250.0,30.211945406908686,30.319868933070016,0.5500012174777017,0.5250016615053533
13.25,18466.030734924552,3373.790462113835,16589.821197038385,5250.0,30.215874302017774,30.325941638133177,0.5500012355494024,0.5250016939127607
13.5,17828.136871098515,3373.301484632004,15951.43835573052,5250.0,30.21980185512125,30.332011188064396,0.5500012529256969,0.5250017263201682
13.75,17373.753137628828,3372.81271084835,15496.565848477177,5250.0,30.22371121584321,30.338077584502948,0.5500012698064876,0.5250017587275756
14.0,18183.32312417061,3372.324140678017,16305.647264848627,5250.0,30.227607214486333,30.344140829087262,0.5500012875686305,0.525001791134983
14.25,16004.884577233608,3371.835774036184,14126.720351269792,5250.0,30.2315233859502,30.350200923454917,0.5500013029572148,0.5250018235423904
14.5,18552.09981613025,3371.347610838064,16673.447426968312,5250.0,30.23538028773228,30.356257869242633,0.5500013211200115,0.5250018559497979
14.75,18393.09460859599,3370.859650998908,16513.9542595949,5250.0,30.23930360763297,30.36231166808629,0.5500013391090685,0.5250018883572053
15.0,16688.91428488761,3370.371894433999,14809.28617932161,5250.0,30.24322142505489,30.368362321620907,0.5500013552411884,0.5250019207646127
15.25,18049.082807870538,3369.8843410586587,16168.967148929198,5250.0,30.247092742336346,30.374409831480662,0.5500013728544424,0.5250019531720201
15.5,17228.720269167006,3369.396990788241,15348.117259955248,5250.0,30.25099888059736,30.38045419929888,0.5500013895735244,0.5250019855794276
15.75,18605.77683580652,3368.909843538138,16724.686679344657,5250.0,30.254881987096528,30.386495426708045,0.5500014077921374,0.525002017986835
16.0,16372.666181245258,3368.422899223774,14491.089080469032,5250.0,30.258800215461886,30.39253351533978,0.5500014235776375,0.5250020503942424
16.25,17268.40436960433,3367.936157760611,15386.34052736494,5250.0,30.262657965242525,30.39856846682487,0.550001440338357,0.5250020828016498
